1	20 
2	23 
3	12 
4	24 
5	10 
6	18 
7	12 
8	23 
9	16 
10	19 
11	4 
12	1 
13	2 
14	1 
15	16 
16	2 
17	7 
18	7 
19	4 
20	18 
21	2 
22	10 
23	19 
24	21 
25	21 
26	4 5 22 
27	20 
28	3 12 24 
29	5 14 25 
30	3 
31	1 
32	23 
33	9 
34	16 
35	8 
36	18 
37	23 
38	21 
39	18 
40	23 
41	4 
42	18 
43	22 
44	23 
45	14 
46	4 
47	13 
48	5 
49	1 
50	1 21 25 
51	24 
52	12 
53	7 12 15 
54	17 
55	1 10 25 
56	7 
57	13 
58	4 
59	13 
60	11 
61	24 
62	14 
63	4 
64	5 12 23 
65	13 
66	3 
67	3 
68	11 
69	16 
70	4 8 11 
71	11 
72	13 
73	5 20 21 
74	1 10 23 
75	5 
76	7 
77	26 
78	18 
79	8 
80	20 
81	1 
82	6 
83	19 
84	25 
85	7 
86	13 
87	5 
88	25 
89	4 
90	18 
91	3 9 23 
92	4 7 21 
93	23 
94	22 
95	1 
96	3 
97	18 
98	18 
99	15 
100	7 
101	15 
102	24 
103	7 
104	15 
105	8 
106	4 
107	13 
108	4 
109	3 
110	16 
111	1 
112	19 
113	20 
114	22 
115	4 
116	11 
117	2 
118	16 
119	2 
120	16 
121	10 
122	23 
123	3 
124	5 
125	2 9 16 
126	22 
127	1 
128	3 
129	8 16 23 
130	13 16 18 
131	25 
132	4 
133	3 
134	10 
135	23 
136	14 
137	25 
138	1 
139	17 
140	18 
141	7 
142	26 
143	1 
144	16 
145	5 
146	23 
147	10 16 19 
148	18 
149	10 
150	17 
151	16 
152	3 
153	11 
154	8 
155	1 
156	23 
157	19 
158	13 
159	19 
160	23 
161	16 
162	21 
163	17 
164	10 
165	17 
166	11 13 16 
167	22 
168	15 
169	6 16 22 
170	1 
171	9 
172	7 
173	18 
174	13 
175	1 
176	16 
177	23 
178	16 
179	24 
180	1 
181	15 
182	25 
183	20 
184	9 14 25 
185	6 13 23 
186	14 
187	24 
188	1 
189	11 18 19 
190	24 
191	15 16 25 
192	4 
193	10 
194	1 
195	5 7 13 
196	23 
197	6 12 15 
198	13 
199	3 7 14 
200	18 
201	10 
202	19 
203	12 
204	18 
205	4 
206	16 
207	26 
208	16 
209	13 
210	1 
211	15 
212	20 
213	5 10 23 
214	13 
215	24 
216	21 
217	5 
218	3 
219	16 
220	7 
221	19 
