1	13 
2	7 
3	3 
4	10 
5	6 20 25 
6	18 
7	8 
8	16 
9	16 
10	1 
11	11 
12	1 
13	15 
14	1 22 23 
15	7 
16	20 
17	5 
18	2 13 25 
19	18 
20	1 
21	10 
22	8 12 19 
23	24 
24	13 
25	15 
26	4 
27	16 
28	18 
29	25 
30	7 
31	2 
32	15 
33	2 
34	12 
35	2 
36	13 
37	1 2 15 
38	13 
39	2 
40	18 
41	1 
42	10 
43	7 
44	5 16 21 
45	10 
46	10 
47	3 18 24 
48	17 
49	5 
50	6 
51	8 
52	18 
53	6 
54	13 
55	21 
56	17 
57	5 
58	7 
59	23 
60	8 
61	16 
62	21 
63	5 
64	21 
65	10 
66	1 
67	6 
68	2 
69	20 
70	13 
71	24 
72	1 
73	1 
74	18 
75	8 
76	1 8 23 
77	25 
78	13 
79	9 
80	17 
81	3 
82	12 
83	18 
84	1 
85	7 
86	17 
87	4 
88	3 
89	21 
90	20 
91	22 
92	1 
93	18 
94	19 
95	18 
96	9 12 16 
97	10 
98	9 
99	6 
100	18 
101	18 
102	14 
103	24 
104	15 
105	21 
106	11 15 24 
107	9 
108	7 
109	24 
110	19 
111	24 
112	1 
113	1 13 21 
114	16 
115	1 
116	25 
117	18 
118	6 
119	4 
120	2 
121	12 
122	24 
123	20 
124	7 
125	11 
126	1 15 24 
127	18 19 23 
128	19 
129	6 
130	1 
131	24 
132	7 12 18 
133	23 
134	8 
135	25 
136	5 
137	1 
138	5 
139	24 
140	8 
141	18 
142	18 
143	5 
144	4 20 21 
145	1 
146	21 
147	13 
148	5 
149	10 
150	12 
151	14 
152	4 13 24 
153	18 
154	25 
155	9 
156	16 
157	2 
158	7 
159	11 
160	2 
161	3 
162	14 
163	19 
164	10 
165	3 
166	16 
167	4 
168	20 
169	12 
170	23 
171	17 
172	1 
173	24 
174	24 
175	5 
176	12 
177	3 
178	5 
179	10 
180	22 
181	3 
182	15 
183	5 10 15 
184	20 
185	23 
186	14 
187	15 
188	1 
189	25 
190	2 
191	6 
192	8 
193	5 
194	8 
195	9 
196	9 
197	20 
198	13 
199	25 
200	12 
201	3 
202	10 
203	14 
204	22 
205	13 
206	7 
207	6 
208	13 
209	2 
210	16 
211	24 
212	24 
213	1 
214	20 
215	1 
216	6 
217	8 
218	10 
219	16 
220	1 
221	5 
222	12 
223	10 
224	18 
225	15 
226	16 
227	15 
228	2 
229	1 
230	20 
231	9 
232	1 10 21 
233	25 
234	23 
235	14 
236	2 18 20 
237	24 
238	3 
239	13 
240	20 
241	8 
242	25 
243	22 
244	25 
245	21 
246	6 
247	17 
248	4 
249	13 
250	1 
251	13 
252	7 
253	24 
254	7 
255	13 
256	15 
257	12 
258	11 
259	23 
260	7 
261	21 
262	3 5 22 
263	6 
264	22 
265	4 
266	6 
267	13 
268	1 
269	8 
270	13 
271	10 
272	10 
273	5 
274	6 8 18 
275	1 
276	1 
277	20 
278	25 
279	13 14 24 
280	7 
281	10 
282	17 
283	13 
284	18 
285	17 
286	5 
287	4 
288	4 
289	1 
290	4 11 13 
291	22 
292	20 
293	13 
294	14 
295	18 
296	8 
297	16 
298	9 
299	16 
300	13 
301	24 
302	22 
303	2 
304	20 
305	6 
306	20 
307	20 
308	1 
309	16 
310	24 
311	18 
312	24 
313	11 
314	18 
315	9 15 19 
316	20 
317	5 17 25 
318	2 
319	24 
320	11 
321	5 
322	1 
323	23 
324	18 
325	25 
326	5 
327	7 
328	3 
329	2 
330	1 
331	20 
332	24 
333	8 
334	20 
335	1 
336	1 
337	1 
338	13 
339	14 
340	3 
341	13 
342	16 
343	21 
344	1 
345	6 
346	12 
347	8 
348	9 22 23 
349	6 14 18 
350	10 
351	18 
352	2 12 13 
353	25 
354	1 
355	6 
356	16 
357	20 
358	5 
359	11 
360	11 18 22 
361	22 
362	6 
363	18 
364	22 
365	16 
366	6 
367	1 
368	12 
369	13 
370	9 
371	13 
372	1 20 23 
373	5 13 22 
374	18 
375	5 
376	1 
377	4 
378	4 
379	4 
380	13 
381	4 
382	17 
383	24 
384	24 
385	1 
386	23 
387	8 
388	15 18 24 
389	3 
390	16 
391	24 
392	17 
393	19 
394	2 
395	8 
396	9 
397	18 
398	24 
399	21 
400	22 
401	25 
402	1 
403	23 
404	25 
405	8 
406	19 
407	3 
408	10 
409	8 
410	20 
411	7 
412	5 
413	3 
414	25 
415	5 
416	18 
417	13 
418	21 
419	18 
420	20 
421	24 
422	20 
423	7 
424	19 
425	15 
426	8 
427	13 
428	1 
429	5 
430	25 
431	24 
432	6 13 15 
433	23 
434	18 
435	16 24 25 
436	20 
437	2 
438	13 
439	18 
440	2 5 18 
441	5 
442	23 
443	20 
444	14 
445	22 
446	20 
447	22 
448	10 
449	8 
450	24 
451	20 
452	5 
453	18 
454	15 
455	12 22 25 
456	14 
457	22 
458	8 
459	4 11 12 
460	1 
461	10 
462	14 
463	14 20 21 
464	13 
465	19 
466	7 8 10 
467	22 
468	10 
469	20 
470	10 
471	6 
472	20 
473	9 14 22 
474	22 
475	10 
476	13 
477	5 
478	14 
479	7 13 22 
480	19 
481	1 
482	9 
483	12 
484	1 
485	20 
486	18 
487	12 
488	14 
489	19 22 24 
490	1 
491	18 
492	15 
493	16 
494	13 
495	21 
496	16 
497	24 
498	9 19 24 
499	1 
500	13 
501	12 
502	11 
503	6 
504	20 
505	13 
506	20 
507	13 
508	8 
509	3 
510	11 16 18 
511	5 
512	9 21 22 
513	6 
514	24 
515	10 
516	1 2 5 
517	1 
518	1 
519	8 
520	13 
521	22 
522	7 
523	12 
524	16 
525	15 
526	19 
527	4 
528	3 9 24 
529	5 
530	6 
531	5 
532	19 
533	18 
534	20 
535	8 
536	1 24 25 
537	20 
538	16 
539	17 
540	1 
541	15 
542	9 
543	24 
544	17 
545	21 
546	25 
547	6 17 25 
548	4 
549	23 
550	8 
551	8 
552	18 
553	1 4 6 
554	8 
555	19 
556	1 2 9 
557	22 
558	24 
559	15 
560	2 
561	5 
562	17 
563	1 
564	14 
565	14 
566	20 
567	17 
568	1 
569	1 
570	19 
571	3 
572	5 6 13 
573	8 
574	12 
575	15 
576	21 
577	2 
578	11 
579	18 
580	13 
581	1 
582	24 
583	6 
584	23 
585	22 
586	7 8 13 
587	25 
588	8 
589	4 
590	4 10 14 
591	2 
592	21 
593	25 
594	9 14 24 
595	1 
596	11 
597	20 
598	16 
599	7 
600	13 
601	25 
602	7 
603	20 
604	20 
605	7 
606	7 9 24 
607	17 
608	11 
609	6 
610	15 
611	20 
612	5 
613	7 
614	22 
615	20 
616	10 
617	8 
618	22 
619	1 2 24 
620	4 
621	15 
622	10 
623	20 
624	1 11 22 
625	11 
626	4 
627	17 
628	18 
629	24 
630	11 
631	7 
632	11 
633	2 
634	14 
635	11 13 18 
636	25 
637	3 
638	10 
639	21 
640	5 
641	5 
642	1 8 22 
643	14 
644	5 
645	18 
646	23 
647	24 
648	6 
649	24 
650	18 
651	18 
652	10 
653	19 
654	5 10 14 
655	23 
656	12 
657	1 
658	6 
659	1 11 13 
660	5 16 23 
661	2 
662	5 9 21 
663	18 
664	18 
665	16 
666	8 
667	5 
668	4 
669	24 
670	17 
671	5 
672	9 
673	20 
674	25 
675	1 
676	11 
677	12 
678	3 
679	12 
680	14 
681	5 8 14 
682	16 
683	1 
684	9 
685	18 
686	8 
687	11 
688	12 
689	21 
690	17 
691	8 
692	6 
693	18 
694	12 
695	14 
696	7 
697	8 
698	23 
699	18 
700	1 
701	9 17 20 
702	12 
703	19 
704	20 
705	22 
706	23 
707	14 
708	13 
709	6 13 21 
710	18 
711	20 
712	14 
713	8 
714	19 
715	25 
716	24 
717	9 
718	1 4 24 
